sample_id,batch,timepoint,cluster
DISTEPHANO_T1,BatchA,1,transformed_B
DRAKE_T1,BatchB,1,healthy
FERRO_T1,BatchA,1,healthy
FRANK_T1,BatchA,1,
FROST_T1,BatchA,1,
GOLIC_T1,BatchB,1,healthy
GORMAN_T1,BatchB,1,
GREGOR_T1,BatchA,1,healthy
HICKS_T1,BatchA,1,transformed_B
HILLARD_T1,BatchA,1,healthy
HUDSON_T1,BatchA,1,transformed_B
JACOBS_T1,BatchA,1,transformed_A
JOHNER_T1,BatchA,1,healthy
JUDE_T1,BatchA,1,healthy
NEWT_T1,BatchB,1,
OUTLIER_C_T1,BatchB,1,outlier
PEREZ_T1,BatchA,1,healthy
PURVIS_T1,BatchA,1,
RAINS_T1,BatchA,1,transformed_A
RIPLEY_T1,BatchB,1,healthy
SABRA_T1,BatchA,1,healthy
SKELL_T1,BatchB,1,healthy
SPUNKMEYER_T1,BatchB,1,healthy
TROY_T1,BatchB,1,
TULLY_T1,BatchA,1,transformed_B
VRIESS_T1,BatchB,1,
WIERZBOWSKI_T1,BatchA,1,healthy
WILLIAMSON_T1,BatchA,1,
WREN_T1,BatchA,1,transformed_A
AARON_T2,BatchC,2,healthy
ANDREWS_T2,BatchC,2,healthy
APONE_T2,BatchB,2,transformed_B
BELLOT_T2,BatchB,2,
BOGGS_T2,BatchC,2,transformed_A
BURKE_T2,BatchB,2,transformed_B
CALL_T2,BatchC,2,healthy
CHRISTIE_T2,BatchB,2,
CLEMENS_T2,BatchB,2,transformed_A
CROWE_T2,BatchB,2,healthy
DIETRICH_T2,BatchB,2,transformed_A
DISTEPHANO_T2,BatchB,2,transformed_B
FERRO_T2,BatchB,2,healthy
FRANK_T2,BatchB,2,
FROST_T2,BatchB,2,
GOLIC_T2,BatchC,2,healthy
GORMAN_T2,BatchB,2,
GREGOR_T2,BatchC,2,healthy
HICKS_T2,BatchB,2,transformed_B
HILLARD_T2,BatchB,2,healthy
HUDSON_T2,BatchB,2,transformed_B
JACOBS_T2,BatchB,2,transformed_A
JOHNER_T2,BatchB,2,healthy
JUDE_T2,BatchB,2,healthy
NEWT_T2,BatchB,2,
OUTLIER_C_T2,BatchB,2,outlier
PEREZ_T2,BatchC,2,healthy
PURVIS_T2,BatchB,2,
RAINS_T2,BatchB,2,transformed_A
SABRA_T2,BatchB,2,healthy
SKELL_T2,BatchC,2,healthy
TROY_T2,BatchB,2,
TULLY_T2,BatchB,2,transformed_B
VRIESS_T2,BatchB,2,
WIERZBOWSKI_T2,BatchB,2,healthy
WILLIAMSON_T2,BatchB,2,
WREN_T2,BatchB,2,transformed_A
AARON_T3,BatchC,3,healthy
APONE_T3,BatchC,3,transformed_B
BOGGS_T3,BatchC,3,transformed_A
BURKE_T3,BatchC,3,transformed_B
CALL_T3,BatchB,3,healthy
CLEMENS_T3,BatchB,3,transformed_A
CROWE_T3,BatchC,3,healthy
DIETRICH_T3,BatchC,3,transformed_A
DISTEPHANO_T3,BatchC,3,transformed_B
FERRO_T3,BatchB,3,healthy
HICKS_T3,BatchB,3,transformed_B
HILLARD_T3,BatchC,3,healthy
HUDSON_T3,BatchB,3,transformed_B
JACOBS_T3,BatchC,3,transformed_A
JOHNER_T3,BatchB,3,healthy
JUDE_T3,BatchB,3,healthy
OUTLIER_C_T3,BatchC,3,outlier
RAINS_T3,BatchB,3,transformed_A
SABRA_T3,BatchB,3,healthy
TULLY_T3,BatchB,3,transformed_B
WIERZBOWSKI_T3,BatchC,3,healthy
WREN_T3,BatchB,3,transformed_A
